,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,marital_status,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,age,job_satisfaction,monthly_income
0,yes,travel_rarely,sales,1,2,life sciences,1,2,female,3,2, sales executive ,single,8,yes,11,3,1,0,8,0,1,6,4,0,5.0,41,4,5993.0
1,no,travel_frequently,research & development,8,1,life sciences,2,3,male,2,2, research scientist ,married,1,no,23,4,4,1,10,3,3,10,7,1,7.0,49,2,5130.0
2,yes,travel_rarely,research & development,2,2,other,4,4,male,2,1, laboratory technician ,single,6,yes,15,3,2,0,7,3,3,0,0,0,0.0,37,3,2090.0
3,no,travel_frequently,research & development,3,4,life sciences,5,4,female,3,1, research scientist ,married,1,yes,11,3,3,0,8,3,3,8,7,3,0.0,33,3,2909.0
4,no,travel_rarely,research & development,2,1,medical,7,1,male,3,1, laboratory technician ,married,9,no,12,3,4,1,6,3,3,2,2,2,2.0,27,2,3468.0
5,no,travel_frequently,research & development,2,2,life sciences,8,4,male,3,1, laboratory technician ,single,0,no,13,3,3,0,8,2,2,7,7,3,6.0,32,4,3068.0
6,no,travel_rarely,research & development,3,3,medical,10,3,female,4,1, laboratory technician ,married,4,no,20,4,1,3,12,3,2,1,0,0,3.0,59,1,2670.0
7,no,travel_rarely,unknown,24,1,life sciences,11,4,male,3,1, laboratory technician ,divorced,1,no,22,4,2,1,1,2,3,1,0,0,0.0,30,3,2693.0
8,no,travel_frequently,research & development,23,3,life sciences,12,4,male,2,3, manufacturing director ,single,0,no,21,4,2,0,10,2,3,9,7,1,8.0,38,3,9526.0
9,no,travel_rarely,research & development,27,3,other,13,3,male,3,2, healthcare representative ,married,6,no,13,3,2,2,17,3,2,7,7,7,3.0,36,3,5237.0
10,no,travel_rarely,research & development,16,3,medical,14,1,male,4,1, laboratory technician ,married,0,no,13,3,3,1,6,5,3,5,4,0,3.0,35,3,2426.0
11,no,travel_rarely,research & development,15,2,life sciences,15,4,female,2,2, laboratory technician ,unknown,0,yes,12,3,4,0,10,3,3,9,5,0,3.0,29,3,4193.0
12,no,travel_rarely,research & development,26,1,life sciences,16,1,male,3,1, research scientist ,divorced,1,no,17,3,4,1,5,1,2,5,2,4,3.0,31,3,2911.0
13,no,travel_rarely,research & development,19,2,medical,18,2,male,3,1, laboratory technician ,divorced,0,no,11,3,3,1,3,2,3,2,2,1,2.0,34,4,2661.0
14,yes,travel_rarely,research & development,24,3,life sciences,19,3,male,2,1, laboratory technician ,single,5,yes,14,3,2,0,6,4,3,4,2,0,3.0,28,3,2028.0
15,no,travel_rarely,research & development,21,4,life sciences,20,2,female,4,3, manufacturing director ,divorced,1,no,11,3,3,1,10,0,3,10,9,8,8.0,29,1,9980.0
16,no,travel_rarely,research & development,5,2,life sciences,21,1,male,4,1, research scientist ,divorced,0,yes,12,3,4,2,7,5,2,6,2,0,5.0,32,2,3298.0
17,no,non-travel,research & development,16,2,medical,22,4,male,4,1, laboratory technician ,divorced,1,yes,13,3,2,2,1,2,2,1,0,0,0.0,22,4,2935.0
18,no,travel_rarely,sales,2,4,life sciences,23,1,female,2,4, manager ,married,2,no,16,3,3,0,31,3,3,25,8,3,7.0,53,4,15427.0
19,no,travel_rarely,research & development,2,3,life sciences,24,4,male,3,1, research scientist ,single,5,yes,11,3,3,0,6,3,3,3,2,1,2.0,38,4,3944.0
20,no,non-travel,research & development,11,2,other,26,1,female,4,2, manufacturing director ,divorced,0,no,18,3,4,1,5,5,2,4,2,1,3.0,24,3,4011.0
21,yes,travel_rarely,sales,9,4,life sciences,27,3,male,2,1, sales representative ,single,7,no,23,4,2,0,10,0,3,5,3,0,3.0,36,1,3407.0
22,no,travel_rarely,research & development,7,4,life sciences,28,1,female,3,3, research director ,single,0,no,11,3,3,0,13,4,3,12,6,2,11.0,34,2,11994.0
23,no,travel_rarely,research & development,15,2,life sciences,30,3,male,3,1, research scientist ,single,1,no,14,3,4,0,0,6,3,0,0,0,0.0,21,4,1232.0
24,yes,travel_rarely,research & development,6,1,medical,31,2,male,3,1, research scientist ,single,2,no,11,3,3,0,8,2,3,4,2,1,3.0,34,1,2960.0
